sample_id,text,morse,clean_file,noisy_file,audio_file,message_id,wpm,snr_requested_db,snr_actual_db,tone_hz,sample_rate,rise_fall_ms,noise_type,seed_base,seed_message,seed_wpm,seed_snr
msg000_wpm05_snr+40db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm05_clean.npy,msg000_wpm05_snr+40db_tone700.npy,msg000_wpm05_snr+40db_tone700.wav,0,5,40,40.0021,700,8000,5.0,AWGN,42,0,0,0
msg000_wpm05_snr+30db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm05_clean.npy,msg000_wpm05_snr+30db_tone700.npy,msg000_wpm05_snr+30db_tone700.wav,0,5,30,30.009031,700,8000,5.0,AWGN,42,0,0,1
msg000_wpm05_snr+20db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm05_clean.npy,msg000_wpm05_snr+20db_tone700.npy,msg000_wpm05_snr+20db_tone700.wav,0,5,20,19.9912,700,8000,5.0,AWGN,42,0,0,2
msg000_wpm05_snr+10db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm05_clean.npy,msg000_wpm05_snr+10db_tone700.npy,msg000_wpm05_snr+10db_tone700.wav,0,5,10,9.997968,700,8000,5.0,AWGN,42,0,0,3
msg000_wpm05_snr+05db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm05_clean.npy,msg000_wpm05_snr+05db_tone700.npy,msg000_wpm05_snr+05db_tone700.wav,0,5,5,5.0022435,700,8000,5.0,AWGN,42,0,0,4
msg000_wpm05_snr+00db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm05_clean.npy,msg000_wpm05_snr+00db_tone700.npy,msg000_wpm05_snr+00db_tone700.wav,0,5,0,-0.014837528,700,8000,5.0,AWGN,42,0,0,5
msg000_wpm05_snr-05db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm05_clean.npy,msg000_wpm05_snr-05db_tone700.npy,msg000_wpm05_snr-05db_tone700.wav,0,5,-5,-5.0197654,700,8000,5.0,AWGN,42,0,0,6
msg000_wpm05_snr-10db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm05_clean.npy,msg000_wpm05_snr-10db_tone700.npy,msg000_wpm05_snr-10db_tone700.wav,0,5,-10,-9.998813,700,8000,5.0,AWGN,42,0,0,7
msg000_wpm10_snr+40db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm10_clean.npy,msg000_wpm10_snr+40db_tone700.npy,msg000_wpm10_snr+40db_tone700.wav,0,10,40,40.022717,700,8000,5.0,AWGN,42,0,1,0
msg000_wpm10_snr+30db,CQ CQ CQ DE VA3FMU K,-.-. --.- / -.-. --.- / -.-. --.- / -.. . / ...- .- ...-- ..-. -- ..- / -.-,msg000_wpm10_clean.npy,msg000_wpm10_snr+30db_tone700.npy,msg000_wpm10_snr+30db_tone700.wav,0,10,30,30.03092,700,8000,5.0,AWGN,42,0,1,1
