transform,scope,qubits,depth,size,oneq,twoq,multiq,twoq_depth,build_time_s,transpile_time_s,estimated_qpu_us
QFT,transform_only,8,60,162,94,68,0,29,0.0007398999878205359,0.004715599992778152,
QFT,stateprep_transform,8,1078,1201,886,315,0,276,0.047609000001102686,0.005807300010928884,
QFT,FakeSherbrooke,127,2355,4277,3560,717,0,589,0.047609000001102686,0.09926579997409135,356.8568888888845
QDCT,transform_only,9,3537,5221,3285,1936,0,1546,0.0022440000029746443,0.015808299998752773,
QDCT,stateprep_transform,9,4552,6260,4077,2183,0,1793,0.0447225000243634,0.018564099998911843,
QDCT,FakeSherbrooke,127,17452,33861,27902,5959,0,4661,0.0447225000243634,0.08107960000052117,2793.3511111109187
QDST,transform_only,9,3539,5223,3287,1936,0,1546,0.001788599998690188,0.01746669999556616,
QDST,stateprep_transform,9,4554,6262,4079,2183,0,1793,0.04059879999840632,0.01644599999417551,
QDST,FakeSherbrooke,127,17452,33860,27901,5959,0,4661,0.04059879999840632,0.07547660000273027,2793.3511111109187
QDWT,transform_only,8,4388,6265,4109,2156,0,1877,0.007678099995246157,0.015557499980786815,
QDWT,stateprep_transform,8,5404,7302,4899,2403,0,2124,0.041737399995326996,0.01879410000401549,
QDWT,FakeSherbrooke,127,18713,35290,29113,6177,0,5011,0.041737399995326996,0.08326390001457185,2994.808888888588
