transform,scope,gate,count
QFT,transform_only,rz,86
QFT,transform_only,cx,68
QFT,transform_only,sx,8
QFT,stateprep_transform,rz,562
QFT,stateprep_transform,cx,315
QFT,stateprep_transform,sx,309
QFT,stateprep_transform,x,15
QFT,FakeSherbrooke,rz,1918
QFT,FakeSherbrooke,sx,1416
QFT,FakeSherbrooke,ecr,717
QFT,FakeSherbrooke,x,226
QDCT,transform_only,rz,2738
QDCT,transform_only,cx,1936
QDCT,transform_only,sx,500
QDCT,transform_only,x,47
QDCT,stateprep_transform,rz,3214
QDCT,stateprep_transform,cx,2183
QDCT,stateprep_transform,sx,801
QDCT,stateprep_transform,x,62
QDCT,FakeSherbrooke,rz,15010
QDCT,FakeSherbrooke,sx,11619
QDCT,FakeSherbrooke,ecr,5959
QDCT,FakeSherbrooke,x,1273
QDST,transform_only,rz,2739
QDST,transform_only,cx,1936
QDST,transform_only,sx,500
QDST,transform_only,x,48
QDST,stateprep_transform,rz,3215
QDST,stateprep_transform,cx,2183
QDST,stateprep_transform,sx,801
QDST,stateprep_transform,x,63
QDST,FakeSherbrooke,rz,15009
QDST,FakeSherbrooke,sx,11619
QDST,FakeSherbrooke,ecr,5959
QDST,FakeSherbrooke,x,1273
QDWT,transform_only,rz,3319
QDWT,transform_only,cx,2156
QDWT,transform_only,sx,753
QDWT,transform_only,x,37
QDWT,stateprep_transform,rz,3794
QDWT,stateprep_transform,cx,2403
QDWT,stateprep_transform,sx,1053
QDWT,stateprep_transform,x,52
QDWT,FakeSherbrooke,rz,15809
QDWT,FakeSherbrooke,sx,12010
QDWT,FakeSherbrooke,ecr,6177
QDWT,FakeSherbrooke,x,1294
